Country,NUTS2_ID,NUTS_NAME,NUTS1_ID,Growth_Rate
POL,PL41,Wielkopolskie,PL4,0.5397845181501437
POL,PL81,Lubelskie,PL8,0.5235521800745557
POL,PL82,Podkarpackie,PL8,0.7205030306107192
POL,PL42,Zachodniopomorskie,PL4,0.6021208560999012
POL,PL84,Podlaskie,PL8,0.3489061749312954
POL,PL43,Lubuskie,PL4,0.07657560756961412
POL,PL91,Warszawski stołeczny,PL9,0.736098202331608
POL,PL51,Dolnośląskie,PL5,0.7075841020379261
POL,PL52,Opolskie,PL5,0.6471074698969764
POL,PL92,Mazowiecki regionalny,PL9,0.12062783119391374
PRT,PT19,Centro (PT),PT1,0.9522844008875695
PRT,PT1A,Grande Lisboa,PT1,0.0902717657981742
PRT,PT1B,Península de Setúbal,PT1,0.6897485260129393
PRT,PT1C,Alentejo,PT1,0.07449777231606658
PRT,PT1D,Oeste e Vale do Tejo,PT1,0.14197581020698236
PRT,PT20,Região Autónoma dos Açores,PT2,0.8113569509042426
PRT,PT30,Região Autónoma da Madeira,PT3,0.6987141324689486
PRT,PT11,Norte,PT1,0.20139262343040276
PRT,PT15,Algarve,PT1,0.13581169617299993
ROU,RO22,Sud-Est,RO2,0.11693696542716336
ROU,RO31,Sud-Muntenia,RO3,0.5974734433911516
ROU,RO32,Bucureşti-Ilfov,RO3,0.07015363337067981
ROU,RO41,Sud-Vest Oltenia,RO4,0.8849868012919521
ROU,RO42,Vest,RO4,0.6491609437310174
ROU,RO21,Nord-Est,RO2,0.44014645943654496
ROU,RO11,Nord-Vest,RO1,0.40216331893335755
ROU,RO12,Centru,RO1,0.20966183085176904
SRB,RS11,City of Belgrade,RS1,0.3716197535236512
SRB,RS12,Autonomous Province of Vojvodina,RS1,0.2603242322870092
SRB,RS21,Region Šumadije i Zapadne Srbije,RS2,0.8293440398995552
SRB,RS22,Region Južne i Istočne Srbije,RS2,0.44494626906086443
SVK,SK01,Bratislavský kraj,SK0,0.1262653670297792
SVK,SK02,Západné Slovensko,SK0,0.5075138184592972
SVK,SK03,Stredné Slovensko,SK0,0.475667935843582
SVK,SK04,Východné Slovensko,SK0,0.819389659556165
SVN,SI03,Vzhodna Slovenija,SI0,0.37768301130490967
SVN,SI04,Zahodna Slovenija,SI0,0.9262773596859011
SWE,SE11,Stockholm,SE1,0.9978783418978528
SWE,SE12,Östra Mellansverige,SE1,0.6277230982689834
SWE,SE23,Västsverige,SE2,0.28842708578140475
SWE,SE31,Norra Mellansverige,SE3,0.2097240531664737
SWE,SE32,Mellersta Norrland,SE3,0.7995357940128877
SWE,SE21,Småland med öarna,SE2,0.12445795695271078
SWE,SE22,Sydsverige,SE2,0.9482276602003589
SWE,SE33,Övre Norrland,SE3,0.6451735841106426
TUR,TR32,"Aydın, Denizli, Muğla",TR3,0.9665361525020297
TUR,TR33,"Manisa, Afyonkarahisar, Kütahya, Uşak",TR3,0.6891998811036116
TUR,TR51,Ankara,TR5,0.25985696060049224
TUR,TR52,"Konya, Karaman",TR5,0.540874356457372
TUR,TR41,"Bursa, Eskişehir, Bilecik",TR4,0.9800662898181305
TUR,TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",TR4,0.6222237579281504
TUR,TR10,İstanbul,TR1,0.24807129055954946
TUR,TR21,"Tekirdağ, Edirne, Kırklareli",TR2,0.47692120291723616
TUR,TR22,"Balıkesir, Çanakkale",TR2,0.6212834158953746
TUR,TR31,İzmir,TR3,0.7928547732618204
TUR,TRA2,"Ağrı, Kars, Iğdır, Ardahan",TRA,0.980572459989063
TUR,TRB1,"Malatya, Elazığ, Bingöl, Tunceli",TRB,0.40408704721752264
TUR,TRB2,"Van, Muş, Bitlis, Hakkari",TRB,0.4831686124201382
TUR,TRC1,"Gaziantep, Adıyaman, Kilis",TRC,0.20318547644876872
TUR,TRC2,"Şanlıurfa, Diyarbakır",TRC,0.3202559047884579
TUR,TRC3,"Mardin, Batman, Şırnak, Siirt",TRC,0.003303492540967068
TUR,TR61,"Antalya, Isparta, Burdur",TR6,0.4721341171262746
TUR,TR62,"Adana, Mersin",TR6,0.3706626519987455
TUR,TR63,"Hatay, Kahramanmaraş, Osmaniye",TR6,0.9993590787185691
TUR,TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",TR7,0.3930671410853981
TUR,TR72,"Kayseri, Sivas, Yozgat",TR7,0.6806879701354352
TUR,TR81,"Zonguldak, Karabük, Bartın",TR8,0.238514340928355
TUR,TR82,"Kastamonu, Çankırı, Sinop",TR8,0.8876857947891083
TUR,TR83,"Samsun, Tokat, Çorum, Amasya",TR8,0.1379453052367675
TUR,TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",TR9,0.12457368719479
TUR,TRA1,"Erzurum, Erzincan, Bayburt",TRA,0.29177800816722954
