Country,NUTS2_ID,NUTS_NAME,NUTS1_ID
FRA,FRE1,Nord-Pas de Calais,FRE
FRA,FRH0,Bretagne,FRH
FRA,FRK2,Rhône-Alpes,FRK
FRA,FRL0,Provence-Alpes-Côte d’Azur,FRL
FRA,FRM0,Corse,FRM
HRV,HR02,Panonska Hrvatska,HR0
HRV,HR03,Jadranska Hrvatska,HR0
HRV,HR05,Grad Zagreb,HR0
HRV,HR06,Sjeverna Hrvatska,HR0
HUN,HU22,Nyugat-Dunántúl,HU2
HUN,HU23,Dél-Dunántúl,HU2
HUN,HU32,Észak-Alföld,HU3
HUN,HU33,Dél-Alföld,HU3
HUN,HU11,Budapest,HU1
HUN,HU12,Pest,HU1
HUN,HU31,Észak-Magyarország,HU3
HUN,HU21,Közép-Dunántúl,HU2
IRL,IE04,Northern and Western,IE0
IRL,IE05,Southern,IE0
IRL,IE06,Eastern and Midland,IE0
ISL,IS00,Ísland,IS0
ITA,ITI3,Marche,ITI
ITA,ITI4,Lazio,ITI
ITA,ITI1,Toscana,ITI
ITA,ITI2,Umbria,ITI
ITA,ITF6,Calabria,ITF
ITA,ITG1,Sicilia,ITG
ITA,ITH3,Veneto,ITH
ITA,ITH4,Friuli-Venezia Giulia,ITH
ITA,ITH5,Emilia-Romagna,ITH
ITA,ITC1,Piemonte,ITC
ITA,ITC2,Valle d’Aosta/Vallée d’Aoste,ITC
ITA,ITC3,Liguria,ITC
ITA,ITG2,Sardegna,ITG
ITA,ITH1,Provincia Autonoma di Bolzano/Bozen,ITH
ITA,ITH2,Provincia Autonoma di Trento,ITH
ITA,ITC4,Lombardia,ITC
ITA,ITF1,Abruzzo,ITF
ITA,ITF2,Molise,ITF
ITA,ITF3,Campania,ITF
ITA,ITF4,Puglia,ITF
ITA,ITF5,Basilicata,ITF
LIE,LI00,Liechtenstein,LI0
LTU,LT01,Sostinės regionas,LT0
LTU,LT02,Vidurio ir vakarų Lietuvos regionas ,LT0
LUX,LU00,Luxembourg,LU0
LVA,LV00,Latvija,LV0
MKD,MK00,Severna Makedonija ,MK0
MLT,MT00,Malta,MT0
MNE,ME00,Crna Gora,ME0
NLD,NL41,Noord-Brabant,NL4
NLD,NL42,Limburg (NL),NL4
NLD,NL11,Groningen,NL1
NLD,NL12,Friesland (NL),NL1
NLD,NL13,Drenthe,NL1
NLD,NL21,Overijssel,NL2
NLD,NL22,Gelderland,NL2
NLD,NL23,Flevoland,NL2
NLD,NL32,Noord-Holland,NL3
NLD,NL34,Zeeland,NL3
NLD,NL35,Utrecht,NL3
NLD,NL36,Zuid-Holland,NL3
NOR,NO02,Innlandet,NO0
NOR,NO08,Oslo og Viken,NO0
NOR,NO06,Trøndelag/Trööndelage,NO0
NOR,NO07,Nord-Norge,NO0
NOR,NO0A,Vestlandet,NO0
NOR,NO0B,Svalbard og Jan Mayen,NO0
NOR,NO09,Agder og Sør-Østlandet,NO0
POL,PL61,Kujawsko-pomorskie,PL6
POL,PL62,Warmińsko-mazurskie,PL6
POL,PL22,Śląskie,PL2
POL,PL63,Pomorskie,PL6
POL,PL21,Małopolskie,PL2
POL,PL71,Łódzkie,PL7
POL,PL72,Świętokrzyskie,PL7
POL,PL41,Wielkopolskie,PL4
POL,PL81,Lubelskie,PL8
POL,PL82,Podkarpackie,PL8
POL,PL42,Zachodniopomorskie,PL4
POL,PL84,Podlaskie,PL8
POL,PL43,Lubuskie,PL4
POL,PL91,Warszawski stołeczny,PL9
POL,PL51,Dolnośląskie,PL5
POL,PL52,Opolskie,PL5
POL,PL92,Mazowiecki regionalny,PL9
PRT,PT19,Centro (PT),PT1
PRT,PT1A,Grande Lisboa,PT1
PRT,PT1B,Península de Setúbal,PT1
PRT,PT1C,Alentejo,PT1
PRT,PT1D,Oeste e Vale do Tejo,PT1
PRT,PT20,Região Autónoma dos Açores,PT2
PRT,PT30,Região Autónoma da Madeira,PT3
PRT,PT11,Norte,PT1
PRT,PT15,Algarve,PT1
ROU,RO22,Sud-Est,RO2
ROU,RO31,Sud-Muntenia,RO3
ROU,RO32,Bucureşti-Ilfov,RO3
ROU,RO41,Sud-Vest Oltenia,RO4
ROU,RO42,Vest,RO4
ROU,RO21,Nord-Est,RO2
ROU,RO11,Nord-Vest,RO1
ROU,RO12,Centru,RO1
SRB,RS11,City of Belgrade,RS1
SRB,RS12,Autonomous Province of Vojvodina,RS1
SRB,RS21,Region Šumadije i Zapadne Srbije,RS2
SRB,RS22,Region Južne i Istočne Srbije,RS2
SVK,SK01,Bratislavský kraj,SK0
SVK,SK02,Západné Slovensko,SK0
SVK,SK03,Stredné Slovensko,SK0
SVK,SK04,Východné Slovensko,SK0
SVN,SI03,Vzhodna Slovenija,SI0
SVN,SI04,Zahodna Slovenija,SI0
SWE,SE11,Stockholm,SE1
SWE,SE12,Östra Mellansverige,SE1
SWE,SE23,Västsverige,SE2
SWE,SE31,Norra Mellansverige,SE3
SWE,SE32,Mellersta Norrland,SE3
SWE,SE21,Småland med öarna,SE2
SWE,SE22,Sydsverige,SE2
SWE,SE33,Övre Norrland,SE3
TUR,TR32,"Aydın, Denizli, Muğla",TR3
TUR,TR33,"Manisa, Afyonkarahisar, Kütahya, Uşak",TR3
TUR,TR51,Ankara,TR5
TUR,TR52,"Konya, Karaman",TR5
TUR,TR41,"Bursa, Eskişehir, Bilecik",TR4
TUR,TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",TR4
TUR,TR10,İstanbul,TR1
TUR,TR21,"Tekirdağ, Edirne, Kırklareli",TR2
TUR,TR22,"Balıkesir, Çanakkale",TR2
TUR,TR31,İzmir,TR3
TUR,TRA2,"Ağrı, Kars, Iğdır, Ardahan",TRA
TUR,TRB1,"Malatya, Elazığ, Bingöl, Tunceli",TRB
TUR,TRB2,"Van, Muş, Bitlis, Hakkari",TRB
TUR,TRC1,"Gaziantep, Adıyaman, Kilis",TRC
TUR,TRC2,"Şanlıurfa, Diyarbakır",TRC
TUR,TRC3,"Mardin, Batman, Şırnak, Siirt",TRC
TUR,TR61,"Antalya, Isparta, Burdur",TR6
TUR,TR62,"Adana, Mersin",TR6
TUR,TR63,"Hatay, Kahramanmaraş, Osmaniye",TR6
TUR,TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",TR7
TUR,TR72,"Kayseri, Sivas, Yozgat",TR7
TUR,TR81,"Zonguldak, Karabük, Bartın",TR8
TUR,TR82,"Kastamonu, Çankırı, Sinop",TR8
TUR,TR83,"Samsun, Tokat, Çorum, Amasya",TR8
TUR,TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",TR9
TUR,TRA1,"Erzurum, Erzincan, Bayburt",TRA
